ds,y,hour,weekday,month,is_weekend,hour_sin,hour_cos,lag_1,lag_24,lag_168,rolling_mean_3,rolling_mean_24
2016-03-08 06:00:00+00:00,0.5871,6,1,3,0,1.0,6.123233995736766e-17,1.2294833333333335,0.6758000000000001,0.4972333333333333,1.0944444444444448,0.7164354166666667
2016-03-08 07:00:00+00:00,0.6193833333333334,7,1,3,0,0.9659258262890683,-0.25881904510252063,0.5871,0.5133666666666666,0.32503333333333334,0.8839444444444449,0.7127395833333333
2016-03-08 08:00:00+00:00,0.6007,8,1,3,0,0.8660254037844387,-0.4999999999999998,0.6193833333333334,0.5378666666666666,0.34468333333333334,0.8119888888888892,0.7171569444444444
2016-03-08 09:00:00+00:00,0.5610833333333333,9,1,3,0,0.7071067811865476,-0.7071067811865475,0.6007,0.6144166666666667,0.40068333333333334,0.6023944444444448,0.7197749999999999
2016-03-08 10:00:00+00:00,0.5590499999999999,10,1,3,0,0.49999999999999994,-0.8660254037844387,0.5610833333333333,0.5864499999999999,0.41139999999999993,0.5937222222222225,0.7175527777777777
2016-03-08 11:00:00+00:00,0.61835,11,1,3,0,0.258819045102521,-0.9659258262890682,0.5590499999999999,0.5079333333333333,0.34101666666666663,0.5736111111111114,0.716411111111111
2016-03-08 12:00:00+00:00,0.74195,12,1,3,0,1.2246467991473532e-16,-1.0,0.61835,0.7356999999999999,0.4219333333333333,0.5794944444444446,0.7210118055555554
2016-03-08 13:00:00+00:00,1.0279166666666666,13,1,3,0,-0.2588190451025208,-0.9659258262890683,0.74195,1.1025666666666667,1.1530500000000001,0.6397833333333337,0.7212722222222223
2016-03-08 14:00:00+00:00,0.38488333333333336,14,1,3,0,-0.4999999999999997,-0.8660254037844388,1.0279166666666666,0.48558333333333337,0.5361499999999999,0.7960722222222225,0.7181618055555555
2016-03-08 15:00:00+00:00,0.4647833333333333,15,1,3,0,-0.7071067811865471,-0.7071067811865479,0.38488333333333336,0.47768333333333335,0.35710000000000003,0.7182500000000003,0.7139659722222221
2016-03-08 16:00:00+00:00,0.45230000000000004,16,1,3,0,-0.8660254037844385,-0.5000000000000004,0.4647833333333333,0.34613333333333335,0.29751666666666665,0.6258611111111114,0.7134284722222222
2016-03-08 17:00:00+00:00,0.4123833333333333,17,1,3,0,-0.9659258262890683,-0.25881904510252063,0.45230000000000004,0.39126666666666665,0.2852166666666667,0.4339888888888892,0.7178520833333333
